variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
b_Intercept,0.6775365873608237,0.6770694382464733,0.1229371167012527,0.1061195339274899,0.48536304875717834,0.8703428170494113,1.0004688294765727,6477.554293570131,5473.018981518321
b_seeded_pool.L,0.093965379514600475,0.0925646311047848,0.14341785791324071,0.14435824233595254,-0.14254290566524735,0.33151327135977066,1.000031591774066,7285.617185217125,8231.430237566807
b_seeded_pool.Q,0.06425051741603088,0.06371355829727651,0.14556769495796107,0.1443248682515383,-0.17461647403228167,0.303925894395412,1.0001321843767934,7283.106847859186,7631.256720916466
b_seeded_pool.C,-0.0509895702747415,-0.05083724541796815,0.1496918477123992,0.1506369792632223,-0.2957834575167838,0.19304516500591695,1.0000714599429437,7673.836647540785,7982.763026582594
b_herbicide1,-0.8457458679230927,-0.8438399619458717,0.13805076579860256,0.138857701259815,-1.0713751615658618,-0.6210610864882837,0.9999900460908625,7851.164665008865,8899.092950471068
b_siteLuxArbor,1.3191670857595257,1.3180061309847497,0.08318133096993909,0.08313800146116145,1.1835142291042968,1.4581350363311247,1.0001986373462963,7981.463232868819,8364.080033564105
b_siteSWStation,0.022062737364896272,0.022402990295416224,0.10227548409044183,0.10042994023543496,-0.14667292396305895,0.18769961568506696,1.000018805826976,8556.794060204971,8778.351459629394
b_seeded_pool.L:herbicide1,-0.49261096959018036,-0.4937285408364318,0.2427636556138212,0.24159163561444552,-0.8963116525630066,-0.09166549513828323,1.0002681361123784,8230.080679760998,7975.06163012067
b_seeded_pool.Q:herbicide1,0.7452689077221608,0.740740530850853,0.2784270433716899,0.2789409066211013,0.29432320155865993,1.2064924172968874,1.0000724017057394,7147.766767431627,7877.2739008774215
b_seeded_pool.C:herbicide1,0.45532032351694235,0.44706372730955946,0.3090881541933757,0.30814241657966907,-0.040944151986409584,0.9732993001293964,1.0003115450369833,7509.87556439648,8745.796955256525
b_seeded_pool.L:siteLuxArbor,0.5808676559171179,0.5814185965217527,0.16584998033809567,0.165136750004488,0.3043006820441706,0.8510224424022457,1.0004002950343096,7607.9328280397485,7852.326620327745
b_seeded_pool.Q:siteLuxArbor,-0.37050608667898854,-0.3729324138339935,0.16615731028972106,0.167086783041056,-0.6439258986483506,-0.09886002516345015,0.9998880982346624,7362.6195035028695,8206.546023466706
b_seeded_pool.C:siteLuxArbor,0.1130902101325001,0.1133655380642105,0.16502015577568288,0.16379400434430963,-0.15858262512332505,0.3814035578629214,0.999918101124072,7717.9021377985555,7842.002129638172
b_seeded_pool.L:siteSWStation,0.34953941467037036,0.3488990320541988,0.2077260130539848,0.20908822029252572,0.012055609881157696,0.6950747939676074,1.0000083720196413,7614.127235136861,8161.941714290517
b_seeded_pool.Q:siteSWStation,-0.19386705950911032,-0.19349462642081178,0.2057483718274271,0.2042803650539649,-0.5334135182421231,0.14390329077371294,1.0002215913571273,7715.436104443127,8249.750773645514
b_seeded_pool.C:siteSWStation,0.3575751944480431,0.35440004229913874,0.2034963528274484,0.20373005828402593,0.028286802989883245,0.6928443712995509,1.0003391212834698,7328.898535001354,8403.36483801508
b_herbicide1:siteLuxArbor,-1.4517406927824086,-1.4477118720753657,0.21970887561642635,0.21738243398364898,-1.8210271620346925,-1.1054108582206759,0.9999569524055243,7501.155825224763,7871.695660553904
b_herbicide1:siteSWStation,1.4032385049936504,1.4007069014001943,0.16592631981961378,0.16481466838301623,1.1355401728110301,1.6788807195034372,0.9999426350160938,8154.981005275575,8922.20276631136
b_seeded_pool.L:herbicide1:siteLuxArbor,1.30833621370178,1.3052245717422943,0.3496599166275196,0.3489938503348962,0.7364465934087453,1.8821306303395005,1.0007749149196257,8436.1361395435,8754.956093484456
b_seeded_pool.Q:herbicide1:siteLuxArbor,1.615609115458817,1.6089004119076091,0.438887929778709,0.4369434870138079,0.8993652067834144,2.3424099899323947,0.9999131982544943,7306.96030088173,8679.411931079729
b_seeded_pool.C:herbicide1:siteLuxArbor,0.8515593323347718,0.8521191706389641,0.5168420799285546,0.5172361308352458,0.02260012694937848,1.716654106199233,1.000419999035899,7962.368589174246,8327.447552937136
b_seeded_pool.L:herbicide1:siteSWStation,0.5869766039993205,0.5891537048355739,0.3047312604271527,0.3014641418342421,0.08372249071455776,1.0934152789946625,1.0000597565778142,8070.815075237283,8617.784400336033
b_seeded_pool.Q:herbicide1:siteSWStation,-0.7513122966343709,-0.7467935962932826,0.3341639397531746,0.3396568171606379,-1.3035802897339155,-0.2130718346471527,1.0006891172698096,7449.41610284249,8048.210943788388
b_seeded_pool.C:herbicide1:siteSWStation,-0.45845989586777547,-0.45201547715493784,0.35571728853401674,0.3537644381869069,-1.0545828242122517,0.12351861554632815,0.9998418096600298,7639.640292750068,8511.322464795447
