accepted_name,family,seeded,pool_size,height,seedmass,sla,lifeform,taxonomic_status,accepted_name_rank,source,accepted_name_url
Silphium perfoliatum,Asteraceae,NA,NA,1.8,0.00685,121.83524495,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:236461-2
Silphium terebinthinaceum,Asteraceae,1,18,0.716406779661017,0.010748706896551724,170.53125,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30257140-2
Solanum carolinense,Solanaceae,NA,NA,0.54275,0.00244,149.15538242,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:285195-2
Solidago canadensis,Asteraceae,NA,NA,1.2375,1.35e-4,258.67,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249454-1
Solidago juncea,Asteraceae,1,33,0.7834490196078432,4.12e-4,130.4785211270612,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249633-1
Solidago nemoralis,Asteraceae,1,33,0.61,3.93e-4,121.6360551605252,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249731-1
Solidago riddellii,Asteraceae,NA,NA,NA,2e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249836-1
Solidago rigida,Asteraceae,1,18,1.1,6.94e-4,86.463297028,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:249837-1
Solidago speciosa,Asteraceae,1,33,0.71,2.55e-4,263.25213235294115,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:240517-2
Sorghastrum nutans,Poaceae,1,6,1.8,0.002305182,135.862764035,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:240823-2
Sporobolus cryptandrus,Poaceae,1,6,0.91,1.06e-4,227.17897435897436,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:422687-1
Sporobolus heterolepis,Poaceae,NA,NA,0.7,0.0011365,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1026241-2
Sporobolus michauxianus,Poaceae,NA,NA,2.4,0.012086556,NA,graminoid,Synonym,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77145291-1
Symphyotrichum ericoides,Asteraceae,1,33,0.41214285714285714,1.27e-4,167.58674812030074,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981811-1
Symphyotrichum laeve,Asteraceae,1,33,0.975,4.25e-4,127.14,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:247114-2
Symphyotrichum oolentangiense,Asteraceae,1,33,0.36167816091954025,1.7e-4,142.8665171354313,NA,Synonym,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981870-1
Symphyotrichum urophyllum,Asteraceae,1,6,0.914,NA,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:981915-1
Taraxacum officinale,Asteraceae,NA,NA,NA,6.827931029999999e-4,NA,herb,Accepted,species,wfo,https://www.worldfloraonline.org/taxon/wfo-0000062154
Thalictrum dasycarpum,Ranunculaceae,NA,NA,NA,0.002265,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:714364-1
Toxicodendron radicans,Anacardiaceae,NA,NA,NA,0.01686,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:255769-2
Tradescantia ohiensis,Commelinaceae,1,33,0.92125,0.003655,102.51800597100001,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:173408-1
Tridens flavus,Poaceae,NA,NA,0.76,8.38e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:257768-2
Trifolium arvense,Fabaceae,NA,NA,0.1485,3.91e-4,182.06,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:522881-1
Trifolium pratense,Fabaceae,NA,NA,0.464333333,0.00147925,233.73,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523575-1
Trifolium repens,Fabaceae,NA,NA,0.25,6.01e-4,314.43,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:523626-1
Triodanis perfoliata,Campanulaceae,NA,NA,NA,2.48e-5,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:258447-2
Ulmus pumila,Ulmaceae,NA,NA,21,0.006606584,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:303333-2
Urtica dioica,Urticaceae,NA,NA,0.987333333,9.2e-5,284.8,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:260630-2
Verbascum thapsus,Scrophulariaceae,NA,NA,1.144333333,1.02e-4,169.18,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:770183-1
Verbena hastata,Verbenaceae,NA,NA,NA,2.31e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:865207-1
Verbena stricta,Verbenaceae,1,12,0.765,0.001014167,182.80948442238764,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:865493-1
Veronicastrum virginicum,Plantaginaceae,NA,NA,NA,7e-5,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:264772-2
Zizia aptera,Apiaceae,1,33,0.34,0.001624167,100.11490093730431,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:271187-2
Zizia aurea,Apiaceae,NA,NA,NA,0.002345,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:850044-1
