accepted_name,family,seeded,pool_size,height,seedmass,sla,lifeform,taxonomic_status,accepted_name_rank,source,accepted_name_url
Carex crinita,Cyperaceae,NA,NA,1.6,6.75e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30070681-2
Carex granularis,Cyperaceae,NA,NA,0.76,4.92e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20008088-1
Carex normalis,Cyperaceae,NA,NA,1.5,7.3e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:46735-2
Carex pellita,Cyperaceae,NA,NA,NA,0.0018,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:320271-2
Ceanothus americanus,Rhamnaceae,NA,NA,0.91,0.003771167,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319138-2
Celastrus orbiculatus,Celastraceae,NA,NA,9.1,0.008983,NA,shrub,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:927512-1
Centaurea stoebe,Asteraceae,NA,NA,0.6125,0.0018025,227.23,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191689-1
Cerastium fontanum,Caryophyllaceae,NA,NA,0.215,1.31e-4,322.535,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:152255-1
Cerastium pumilum,Caryophyllaceae,NA,NA,0.055,4.87e-5,301.3,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:152552-1
Chamaecrista fasciculata,Fabaceae,1,18,0.73,0.007681111,297.17426919685437,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:54500-2
Chenopodium album,Amaranthaceae,NA,NA,0.7666,0.013975483,222.14,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:55993-2
Cichorium intybus,Asteraceae,NA,NA,0.68375,0.003666667,264.3,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:194533-1
Cirsium arvense,Asteraceae,NA,NA,0.720666667,0.001500643,154.02,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:195034-1
Coreopsis lanceolata,Asteraceae,1,6,0.555,0.001555467,165.20813763500001,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319152-2
Coreopsis palmata,Asteraceae,NA,NA,NA,0.001988,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:65888-2
Coreopsis tinctoria,Asteraceae,NA,NA,0.74,2.17e-4,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:198219-1
Coreopsis tripteris,Asteraceae,NA,NA,NA,0.00256,85.33220979055555,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:65938-2
Cyperus strigosus,Cyperaceae,NA,NA,1,3.26e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306028-1
Dactylis glomerata,Poaceae,NA,NA,0.704666667,9.19e-4,247.66,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:397309-1
Dalea candida,Fabaceae,NA,NA,0.61,0.002216417,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30189316-2
Dalea purpurea,Fabaceae,1,6,0.91,0.002309786,190.72222222222223,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:490847-1
Daucus carota,Apiaceae,NA,NA,0.572666667,0.001002938,197.63,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:841063-1
Desmanthus illinoensis,Fabaceae,NA,NA,0.91,0.005656445,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30211162-2
Desmodium canadense,Fabaceae,NA,NA,1.14075,0.0051,166.25165886000002,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1051889-2
Desmodium illinoense,Fabaceae,1,33,0.6042857142857143,0.0066,355.95591848533024,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:491822-1
Desmodium obtusum,Fabaceae,NA,NA,NA,0.002537,NA,forb,Synonym,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:491951-1
Desmodium paniculatum,Fabaceae,NA,NA,0.91,0.00273,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:491980-1
Dianthus armeria,Caryophyllaceae,NA,NA,0.3625,3.65e-4,148.8,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:310755-2
Dichanthelium clandestinum,Poaceae,NA,NA,0.61,0.001296,222.483622045,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:79344-2
Digitaria cognata,Poaceae,NA,NA,NA,5.5e-4,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:80227-2
Drymocallis arguta,Rosaceae,1,12,0.91,1.42e-4,136.26078063801964,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:84384-2
Echinacea angustifolia,Asteraceae,NA,NA,NA,0.18485,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87143-2
Echinacea pallida,Asteraceae,NA,NA,0.37,0.0049695,96.451377873,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:202374-1
Echinacea purpurea,Asteraceae,1,6,0.37,0.002164,126.40202280611112,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1174497-2
Elaeagnus umbellata,Elaeagnaceae,NA,NA,4.6,0.0152625,NA,shrub,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:927281-1
Elymus canadensis,Poaceae,NA,NA,0.91,0.0042035,124.14332373368421,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:400194-1
Elymus repens,Poaceae,NA,NA,0.78,0.003138357,236.19,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90320-2
Elymus villosus,Poaceae,NA,NA,NA,0.003455,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90363-2
Elymus virginicus,Poaceae,NA,NA,0.76,0.004918556,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:90367-2
Erigeron canadensis,Asteraceae,NA,NA,1.00625,1.77e-4,224.05,NA,Synonym,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:203653-1
Eryngium yuccifolium,Apiaceae,1,6,1.0115,0.00382,91.748961777,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:842103-1
Eupatorium perfoliatum,Asteraceae,NA,NA,NA,1.09e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:277036-2
Euphorbia corollata,Euphorbiaceae,NA,NA,NA,0.00379,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:276640-2
Eutrochium maculatum,Asteraceae,NA,NA,NA,2.77e-4,NA,forb,Synonym,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60437839-2
Eutrochium purpureum,Asteraceae,NA,NA,NA,4.5e-4,NA,forb,Synonym,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60437842-2
Fallopia convolvulus,Polygonaceae,NA,NA,0.688,0.004761917,238.75,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:103354-2
Fragaria virginiana,Rosaceae,NA,NA,NA,4.6e-4,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:318974-2
Gentiana andrewsii,Gentianaceae,NA,NA,0.61,5.27e-5,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:367759-1
Geranium maculatum,Geraniaceae,NA,NA,NA,0.00607,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:322491-2
Geum canadense,Rosaceae,NA,NA,1.2,0.00515,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30065568-2
Helianthus giganteus,Asteraceae,NA,NA,NA,0.003228,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:315753-2
Helianthus grosseserratus,Asteraceae,NA,NA,1.5,0.001292,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30042412-2
Helianthus mollis,Asteraceae,NA,NA,NA,0.00466,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329254-2
Helianthus occidentalis,Asteraceae,1,33,0.5365573770491804,0.00221,183.53441597074817,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:315076-2
Helianthus pauciflorus,Asteraceae,NA,NA,NA,0.00777,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329249-2
Helianthus strumosus,Asteraceae,NA,NA,NA,0.00527,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329248-2
Heliopsis helianthoides,Asteraceae,NA,NA,1.25425,0.0040716,164.27,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:213534-1
Hypericum ascyron,Hypericaceae,NA,NA,1.5,1.64e-4,172.78249999500002,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30453546-2
Hypericum kalmianum,Hypericaceae,NA,NA,NA,8e-5,NA,shrub,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433528-1
Hypericum perforatum,Hypericaceae,NA,NA,0.454,1.62e-4,260.64,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433719-1
Hypericum punctatum,Hypericaceae,NA,NA,0.91,4e-5,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30020021-2
Hypochaeris radicata,Asteraceae,NA,NA,0.32,8.14e-4,NA,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225575-1
Juncus dudleyi,Juncaceae,NA,NA,NA,1e-5,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:132109-2
Juncus tenuis,Juncaceae,NA,NA,0.422666667,1.34e-5,134.97,NA,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:304453-2
Juncus torreyi,Juncaceae,NA,NA,0.9,1.1e-5,NA,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:289226-2
Koeleria macrantha,Poaceae,NA,NA,0.2665,4.22e-4,118.07,graminoid,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:406615-1
Lespedeza capitata,Fabaceae,1,12,0.79,0.002738625,274.5025641025641,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:502425-1
Lespedeza virginica,Fabaceae,1,12,0.708,0.00191,126.2115385,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:138683-2
Liatris aspera,Asteraceae,NA,NA,NA,0.002113333,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:230545-1
Liatris cylindracea,Asteraceae,1,33,0.5644642857142856,0.0032605,110.01868686868687,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:230560-1
Liatris pycnostachya,Asteraceae,NA,NA,1.1,0.002821667,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:230623-1
Liatris spicata,Asteraceae,NA,NA,1.4,0.003699,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:230634-1
Lobelia inflata,Campanulaceae,NA,NA,NA,1.4e-5,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:143415-1
Lobelia siphilitica,Campanulaceae,NA,NA,NA,4.17e-5,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:143861-1
Ludwigia alternifolia,Onagraceae,NA,NA,NA,2.95e-5,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:613307-1
Lupinus perennis,Fabaceae,1,33,0.3265,0.021530834,167.43,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:504907-1
Maianthemum racemosum,Asparagaceae,NA,NA,NA,0.0313025,NA,forb,Accepted,species,wcvp,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:538037-1
