id_plot,site,year,id_tin,tinfilter_g,soil_soaked_g,soil_dried_g,water_cap,notes,,,,
Lux_26,Lux Arbor,2018,69,24.36,173.15,114.85,0.644,,,,,
Lux_27,Lux Arbor,2018,46,23.82,188,132.07,0.517,,,,,
Lux_28,Lux Arbor,2018,31,27.87,217.16,157.18,0.464,,,,,
Lux_29,Lux Arbor,2018,33,25.04,189.83,135.69,0.489,,,,,
Lux_30,Lux Arbor,2018,18,22.6,193.59,136.56,0.500,,,,,
Lux_31,Lux Arbor,2018,57,23.29,200.16,142.93,0.478,,,,,
Lux_32,Lux Arbor,2018,21,23.37,178.47,123.46,0.550,,,,,
Lux_33,Lux Arbor,2018,64,23.32,183.82,127.73,0.537,,,,,
Lux_34,Lux Arbor,2018,44,24.11,213.95,153.12,0.472,,,,,
Lux_35,Lux Arbor,2018,45,23.98,185.87,134.21,0.469,,,,,
Lux_36,Lux Arbor,2018,71,24.67,172.63,121.73,0.524,,,,,
Lux_37,Lux Arbor,2018,26,23.42,183.6,131.11,0.487,,,,,
Lux_38,Lux Arbor,2018,66,23.52,184.68,128.3,0.538,,,,,
Lux_39,Lux Arbor,2018,27,25.11,193.36,137.4,0.498,,,,,
Lux_40,Lux Arbor,2018,32,22.97,158.93,110.77,0.549,,,,,
Lux_41,Lux Arbor,2018,64,23.22,174.81,119.98,0.567,,,,,
Lux_42,Lux Arbor,2018,36,23.84,211.02,149.73,0.487,,,,,
Lux_43,Lux Arbor,2018,56,23.83,202.5,148.14,0.437,,,,,
Lux_44,Lux Arbor,2018,6,23.03,225.66,146.43,0.642,,,,,
Lux_45,Lux Arbor,2018,51,24.47,189.15,139.45,0.432,,,,,
Lux_46,Lux Arbor,2018,1,24,188.86,132.32,0.522,,,,,
Lux_47,Lux Arbor,2018,59,22.83,167.57,121.99,0.460,,,,,
Lux_48,Lux Arbor,2018,68,24.21,171.33,126.25,0.442,,,,,
Lux_49,Lux Arbor,2018,58,23.21,198.1,143.34,0.456,,,,,
Lux_50,Lux Arbor,2018,11,23.61,181.41,130.18,0.481,,,,,
Lux_51,Lux Arbor,2018,49,23.64,192.64,138.97,0.465,,,,,
Lux_52,Lux Arbor,2018,13,24.09,194.14,140.09,0.466,,,,,
Lux_53,Lux Arbor,2018,47,23.21,159.61,116.13,0.468,,,,,
Lux_54,Lux Arbor,2018,41,24.17,191.39,131.08,0.564,Duplicate: Confirmed Correct Plot Label ,,,,
Lux_55,Lux Arbor,2018,19,22.71,155.17,106.53,0.580,,,,,
Lux_56,Lux Arbor,2018,8,23.32,138.36,95.07,0.603,,,,,
Lux_57,Lux Arbor,2018,30,23.25,198.14,144.16,0.446,,,,,
Lux_58,Lux Arbor,2018,20,23.28,193.49,140.28,0.455,,,,,
Lux_59,Lux Arbor,2018,34,23.11,190.22,133.34,0.516,,,,,
Lux_60,Lux Arbor,2018,24,22.54,129.89,90.12,0.588,,,,,
