species,number,source,leaf_mass,total_root_mass,total_shoot_mass,total_biomass,root_shoot
VERSTR,4b,NA,0.043,NA,NA,NA,NA
VERSTR,1,NA,0.039,0.549,0.363,0.912,1.512396694
VERVIR,4,NA,0.009,0.057,0.056,0.113,1.017857143
VERVIR,5,NA,0.015,0.218,0.169,0.387,1.289940828
VERVIR,3,NA,0.013,0.224,0.117,0.341,1.914529915
VERVIR,2,NA,0.008,0.06,0.073,0.133,0.821917808
VERVIR,1,NA,0.006,0.062,0.077,0.139,0.805194805
ZIZAUR,1,NA,1,NA,NA,0.4237,0.634645062
ZIZAUR,2,NA,1,NA,NA,0.1337,0.547453704
ZIZAUR,3,NA,1,NA,NA,0.2527,0.457324106
ZIZAUR,4,NA,1,NA,NA,0.1217,0.711673699
ZIZAUR,5,NA,1,NA,NA,1.1141,5.29079616
ZIZAUR,6,NA,1,NA,NA,0.0818,0.582205029
ZIZAUR,7,NA,1,NA,NA,0.0786,0.849411765
ZIZAUR,8,NA,1,NA,NA,0.2639,0.778301887
ZIZAUR,9,NA,1,NA,NA,0.1311,0.524418605
ZIZAUR,10,NA,1,NA,NA,0.1939,0.737455197
