species,seed_mass
DESCAN,5.195555556
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESCAN,NA
DESILL,6.6
DESPAN,3.192
DESRIG,2.537
DIAARM,0.711428571
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DICCLA,NA
DIGCOG,0.55
ECHANG,138.3555556
ECHANG,138.3555556
ECHPAL,5.66
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPAL,NA
ECHPUR,2.42
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ECHPUR,NA
ELAUMB,14.683
ELYCAN,4.265
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYCAN,NA
ELYREP,4.27
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYREP,NA
ELYVIL,3.428
ELYVIR,5.089909091
ERIGERON,0.047142857
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
ERIGERON,NA
