id,axis1,axis2,type
Lux_12_2015,-1.336927315574255,0.9540985894529906,sites
Lux_12_2016,-1.8002955791778423,1.7792096577165353,sites
Lux_12_2017,-1.9229254465964103,2.0616761424330363,sites
Lux_12_2018,-1.735494329705137,1.850353504500618,sites
Lux_12_2019,-1.3092176489285448,1.2586562067185036,sites
Lux_12_2025,-0.5330386967347203,0.545578827895573,sites
Lux_17_2015,-1.33639856870196,0.22385647536116415,sites
Lux_17_2016,-1.6200848484652157,0.762814129792827,sites
Lux_17_2017,-1.7569577999686878,1.067963507069172,sites
Lux_17_2018,-1.0502019249047483,0.029587709647046545,sites
Lux_17_2019,-0.6688457400882388,-0.49057123467709757,sites
Lux_17_2025,-0.1139824021367743,-0.8511913598778321,sites
Lux_19_2016,0.9648378302091543,-0.4993321691829463,sites
Lux_19_2017,1.0005253205035618,-0.4689947594585615,sites
Lux_19_2018,1.0603164915570382,-0.47704378329698993,sites
Lux_19_2019,1.0941414247018812,-0.44374014916093274,sites
Lux_19_2025,2.0808988969817532,-1.4921753702917158,sites
Lux_1_2016,-1.3801048767947686,1.6686003927153876,sites
Lux_1_2017,-1.118171473920919,1.338628778316092,sites
Lux_1_2018,-0.7543452387473686,0.8463872402194486,sites
Lux_1_2019,-1.108151317082461,1.4970145195611142,sites
Lux_1_2025,-0.6913363325693003,1.3562439684019476,sites
Lux_20_2015,-1.3236309450989612,3.2849966382589084,sites
Lux_20_2016,-1.3290292742802396,3.380765468828998,sites
Lux_20_2017,-1.2215785526349676,3.2968159968095523,sites
Lux_20_2018,-1.326678470410576,3.551365075298552,sites
Lux_20_2019,-1.3780929174046224,3.7204170972158312,sites
Lux_20_2025,-0.23378502270865453,2.421074187615386,sites
Lux_26_2015,-1.3671298341294866,3.2841457605071738,sites
Lux_26_2016,-1.3297989110560517,3.3118659133977304,sites
Lux_26_2017,-1.3669702739651934,3.4582350427551654,sites
Lux_26_2018,-1.2759538801101962,3.4004581390740016,sites
Lux_26_2019,-1.169598780317609,3.3182535049437742,sites
Lux_26_2025,-0.4175235088828536,2.643562559683657,sites
Lux_30_2016,1.1098465170171337,0.26826813017336026,sites
Lux_30_2017,1.2348271883053648,0.15640125192641363,sites
Lux_30_2018,1.8539333151545083,-0.7423875143582086,sites
Lux_30_2019,1.5275177831365396,-0.13538118224701262,sites
Lux_30_2025,2.5513072740371627,-1.2427919240333904,sites
Lux_34_2016,-1.3496933191714444,-0.2745300602151301,sites
Lux_34_2017,-1.0275007143999224,-0.7004677585214594,sites
Lux_34_2018,-0.8948506901428968,-0.8245485019929376,sites
Lux_34_2019,-0.7380969851268021,-0.9870156790272291,sites
Lux_34_2025,-0.23911036166226995,-1.2586490718778056,sites
Lux_35_2015,-1.417588743493153,-0.3246274003110331,sites
Lux_35_2016,-1.7889247714712044,0.35391728525813315,sites
Lux_35_2017,-1.7318726550494405,0.35023035614275166,sites
Lux_35_2018,-1.399819453603754,-0.09141088316654666,sites
Lux_35_2019,-0.9987420754389155,-0.642976909496629,sites
Lux_35_2025,-0.32883844295553105,-1.186805013065337,sites
Lux_38_2015,-1.4587466432891898,0.7894869425845055,sites
Lux_38_2016,-1.9506010750625857,1.6599637959677391,sites
Lux_38_2017,-1.7425722673408355,1.415838205718008,sites
Lux_38_2018,-1.5429797478847593,1.1851478672152616,sites
Lux_38_2019,-1.529642943385125,1.2510799698797097,sites
Lux_38_2025,-0.5266702676855158,0.17682114798848902,sites
Lux_3_2017,-0.8638572217874558,2.2430117119855812,sites
Lux_3_2018,-0.7805101809012529,2.1974486735289487,sites
Lux_3_2019,-1.0893957632762625,2.776537599412644,sites
