id,axis1,axis2,type
SWS_10_2015,-1.2641565986875531,-1.4583619296829988,sites
SWS_10_2016,-1.0591545082984148,-1.3995855310035086,sites
SWS_10_2017,-0.832582969328346,-1.2364003980556855,sites
SWS_10_2018,-0.5899756428697125,-0.9955926838724162,sites
SWS_11_2015,0.32908196356275293,-0.16204545941461615,sites
SWS_11_2016,0.5651698223211177,0.0472042217417834,sites
SWS_11_2017,0.816649408250884,0.33095885587089363,sites
SWS_11_2018,1.081338802726558,0.6786566819193672,sites
SWS_13_2016,0.40073035593819817,-2.442189313842092,sites
SWS_13_2017,0.6487267585200382,-2.1752953223583864,sites
SWS_13_2018,0.8955401931723941,-1.9141275868674588,sites
SWS_14_2015,-1.6973138113378694,-1.0946643610348237,sites
SWS_14_2016,-1.4857265328079352,-1.0040118039955317,sites
SWS_14_2017,-1.2967470858192565,-1.0227943614849015,sites
SWS_14_2018,-1.042178639184726,-0.7240878367079799,sites
SWS_15_2015,-0.04486656749252044,-2.120387404430839,sites
SWS_15_2016,0.14766178328461116,-2.1219911939418723,sites
SWS_15_2017,0.3618778794356215,-2.0186136235852947,sites
SWS_15_2018,0.6209153160259819,-1.6982745761689861,sites
SWS_16_2015,-1.3022766787565567,0.14308319381267473,sites
SWS_16_2016,-1.0576977390821156,0.3934346679839089,sites
SWS_16_2017,-0.8589259464549279,0.4220527851014303,sites
SWS_16_2018,-0.590621927750274,0.7872475044611725,sites
SWS_18_2015,0.04907790320137714,-1.401173184541615,sites
SWS_18_2016,0.2835358950346747,-1.199813011641933,sites
SWS_18_2017,0.4514848010547433,-1.3203956756695925,sites
SWS_18_2018,0.7197230993188704,-0.9555190816427821,sites
SWS_1_2015,0.19046932331320382,-2.8861680484883583,sites
SWS_1_2016,0.477083056748654,-2.432343611373717,sites
SWS_1_2017,0.6926135617102025,-2.3226035343584965,sites
SWS_1_2018,0.9481020945121099,-2.019443254920524,sites
SWS_20_2018,1.2639160623301884,-1.1174479235318961,sites
SWS_21_2015,0.23587583891420094,0.15079794156393195,sites
SWS_21_2016,0.4391823419377451,0.2013667066537723,sites
SWS_21_2017,0.6365740053138675,0.22330419177971847,sites
SWS_21_2018,0.9070467985559094,0.5989970471262218,sites
SWS_22_2016,0.08613895097963392,-1.2598230427608967,sites
SWS_22_2017,0.29273147602952326,-1.1933480110244488,sites
SWS_22_2018,0.5901496498875967,-0.6872237691757612,sites
SWS_23_2015,1.2729974630500762,-0.6368995396323774,sites
SWS_23_2016,1.4981757286809747,-0.4804586637427158,sites
SWS_23_2017,1.8443042230040185,-0.3465927716021213,sites
SWS_23_2018,1.9916711571046328,0.041240556573274426,sites
SWS_25_2015,-1.3054724123985646,0.18457153621435873,sites
SWS_25_2016,-1.058185790574415,0.44802977410239775,sites
SWS_25_2017,-0.8636989706695815,0.4559061195127425,sites
SWS_25_2018,-0.5955921132865083,0.8201464628736883,sites
SWS_26_2016,1.6072456771477792,-0.4701869132473127,sites
SWS_26_2017,1.799642587043857,-0.47242695342421026,sites
SWS_26_2018,2.082470823104958,-0.03692653548646184,sites
SWS_27_2015,-0.27301708784228895,-1.0293384799589689,sites
SWS_27_2016,-0.0384276551279376,-0.8273420563934225,sites
SWS_27_2017,0.16461596613349885,-0.778045792635311,sites
SWS_27_2018,0.4360088455429174,-0.39789918262775725,sites
SWS_28_2015,-1.6214826633977961,0.29893883090929,sites
SWS_28_2016,-1.3604736135916284,0.628821638313563,sites
SWS_28_2017,-1.1578243149733534,0.6762091500740817,sites
SWS_28_2018,-0.851336720322567,1.2262346878674064,sites
SWS_29_2015,0.16281511165318305,0.08825912151007556,sites
SWS_29_2016,0.40844557837605466,0.3437006010082241,sites
SWS_29_2017,0.6142494581396212,0.40635812874948624,sites
SWS_29_2018,0.9007580388702281,0.8596735653314356,sites
SWS_2_2015,-1.8369496643796661,-1.1672021810643596,sites
SWS_2_2016,-1.5877702938683418,-0.8945819335878744,sites
SWS_2_2017,-1.3895899852058962,-0.8688269444667425,sites
SWS_2_2018,-1.124506268087061,-0.5192203664206759,sites
SWS_30_2015,0.07276078686753484,0.5142342828205467,sites
SWS_30_2016,0.3015668208155185,0.6882356770880635,sites
SWS_30_2017,0.48226549229780685,0.6293693276492421,sites
SWS_30_2018,0.7739002673895126,1.1074985401998996,sites
SWS_32_2016,-0.8822681396092995,-0.9033070900089519,sites
